UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long
ROBBERY,191510360,5/31/19,472 COURTLAND ST NE,509,Downtown,M,33.76763,-84.38419
ROBBERY,191511609,5/31/19,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.75183,-84.46623
ROBBERY,191511411,5/31/19,1342 PRYOR RD SW,305,High Point,Y,33.7185,-84.39341
AGG ASSAULT,191510268,5/31/19,151 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.68148,-84.39422
AGG ASSAULT,191511544,5/31/19,1083 EUCLID AVE NE,602,Inman Park,N,33.76323,-84.35155
AGG ASSAULT,191511547,5/31/19,575 IRA ST SW,303,Mechanicsville,V,33.7391,-84.40013
AGG ASSAULT,191511049,5/31/19,345 10TH ST NE,503,Midtown,E,33.7815,-84.37599
AGG ASSAULT,191502595,5/31/19,3810 CAMBELTON RD,413,,P,33.69028,-84.51343
AGG ASSAULT,191512042,5/31/19,1058 HOWELL MILL RD NW,501,Home Park,E,33.78345,-84.4119
AGG ASSAULT,191512145,5/31/19,960 ALLENE AVE SW,301,Adair Park,V,33.72874,-84.41337
AGG ASSAULT,191512267,5/31/19,512 LUCKIE ST NW,504,Downtown,M,33.76926,-84.39619
BURGLARY,191511705,5/31/19,1353 FINLEY ST NE,609,Edgewood,O,33.75625,-84.34316
BURGLARY,191510975,5/31/19,1525 VENETIAN DR SW,403,Venetian Hills,S,33.7148,-84.43849
BURGLARY,191510893,5/31/19,1576 BREWER BLVD SW,306,Sylvan Hills,X,33.71186,-84.41665
BURGLARY,191511455,5/31/19,260 HUNNICUTT ST NW,504,Downtown,M,33.7687,-84.39239
BURGLARY,191511253,5/31/19,2031 CHICAGO AVE NW,107,Grove Park,J,33.76485,-84.45386
BURGLARY,191510872,5/31/19,1228 KENILWORH DR SW,403,Venetian Hills,S,33.72161,-84.4339
BURGLARY,191512515,5/31/19,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.76462,-84.36561
BURGLARY,191510656,5/31/19,785 PONCE DE LEON PL NE,601,Virginia Highland,F,33.77602,-84.36358
BURGLARY,191510693,5/31/19,2247 CASCADE RD SW,406,Cascade Avenue/Road,S,33.72272,-84.46205
BURGLARY,191510803,5/31/19,412 SAWTELL AVE SE,307,Lakewood Heights,Y,33.70822,-84.37541
BURGLARY,191511005,5/31/19,40 PEACHTREE VALLEY RD NE,207,,E,33.81097,-84.39154
BURGLARY,191511325,5/31/19,2115 MONROE DR NE,212,Piedmont Heights,F,33.81007,-84.3713
BURGLARY,191510721,5/31/19,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.75381,-84.47425
BURGLARY,191511929,5/31/19,1069 GLENWOOD AVE SE,607,Ormewood Park,W,33.7401,-84.35229
BURGLARY,191511286,5/31/19,3761 CAMPBELLTON RD SW,412,Kings Forest,P,33.69087,-84.51166
BURGLARY,191510346,5/31/19,222 TUSKEGEE ST SE,304,Peoplestown,V,33.72865,-84.38042
LARCENY-NON VEHICLE,191511212,5/31/19,834 HANK AARON DR SE,304,Summerhill,V,33.73206,-84.38764
LARCENY-NON VEHICLE,191511152,5/31/19,655 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.76094,-84.36599
LARCENY-NON VEHICLE,191511653,5/31/19,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.75674,-84.34619
LARCENY-NON VEHICLE,191512118,5/31/19,2045 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.7774,-84.45214
LARCENY-NON VEHICLE,191511895,5/31/19,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921
LARCENY-NON VEHICLE,191511194,5/31/19,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.70514,-84.45947
LARCENY-NON VEHICLE,191511305,5/31/19,842 PEACHTREE ST NE,505,Midtown,E,33.77756,-84.38482
LARCENY-NON VEHICLE,191511410,5/31/19,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824,-84.36521
LARCENY-NON VEHICLE,191511116,5/31/19,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278
LARCENY-NON VEHICLE,191511129,5/31/19,650 PONCE DE LEON AVE NE @STAPLES - PONCE,614,Midtown,E,33.77469,-84.36561
LARCENY-FROM VEHICLE,191510677,5/31/19,3123 ELEANOR TER NW,112,Collier Heights,I,33.77746,-84.4887
LARCENY-FROM VEHICLE,191511106,5/31/19,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77358,-84.40496
LARCENY-FROM VEHICLE,191510516,5/31/19,2707 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.77774,-84.47583
LARCENY-FROM VEHICLE,191510085,5/31/19,333 W PEACHTREE ST NE,508,Downtown,M,33.76376,-84.38742
LARCENY-FROM VEHICLE,191510007,5/31/19,3340 PEACHTREE RD NE,208,North Buckhead,B,33.84743,-84.37089
LARCENY-FROM VEHICLE,191510002,5/31/19,ETHEL ST NW / TUMLIN ST NW,501,Home Park,E,33.7845,-84.40061
LARCENY-FROM VEHICLE,191511294,5/31/19,1130 PEACHTREE STREET NE,503,Downtown,M,33.75595,-84.38601
LARCENY-FROM VEHICLE,191511184,5/31/19,3030 HEADLAND DR SW,411,Greenbriar,R,33.68841,-84.48742
