Series ID,Year,Period,Label,Value
LAUCT130400000000004,2019,M01,2019 Jan,11709
LAUCT130400000000004,2019,M02,2019 Feb,10599
LAUCT130400000000004,2019,M03,2019 Mar,10148
LAUCT130400000000004,2019,M04,2019 Apr,8756
LAUCT130400000000004,2019,M05,2019 May,9462
LAUCT130400000000004,2019,M06,2019 Jun,10693
LAUCT130400000000004,2019,M07,2019 Jul,10626
LAUCT130400000000004,2019,M08,2019 Aug,10297
LAUCT130400000000004,2019,M09,2019 Sep,8514
LAUCT130400000000004,2019,M10,2019 Oct,8517
LAUCT130400000000004,2019,M11,2019 Nov,7596
LAUCT130400000000004,2019,M12,2019 Dec,7815
LAUCT130400000000004,2020,M01,2020 Jan,9588
LAUCT130400000000004,2020,M02,2020 Feb,9961
LAUCT130400000000004,2020,M03,2020 Mar,14514
LAUCT130400000000004,2020,M04,2020 Apr,33338
LAUCT130400000000004,2020,M05,2020 May,30281
LAUCT130400000000004,2020,M06,2020 Jun,28626
LAUCT130400000000004,2020,M07,2020 Jul,28082
LAUCT130400000000004,2020,M08,2020 Aug,21433
