UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY,191510360,05/31/2019,472 COURTLAND ST NE,509,Downtown,M,33.767630,-84.384190,
ROBBERY,191511609,05/31/2019,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.751830,-84.466230,
ROBBERY,191511411,05/31/2019,1342 PRYOR RD SW,305,High Point,Y,33.718500,-84.393410,
AGG ASSAULT,191510268,05/31/2019,151 CLEVELAND AVE SW,310,Browns Mill Park,Z,33.681480,-84.394220,
AGG ASSAULT,191511544,05/31/2019,1083 EUCLID AVE NE,602,Inman Park,N,33.763230,-84.351550,
AGG ASSAULT,191511547,05/31/2019,575 IRA ST SW,303,Mechanicsville,V,33.739100,-84.400130,
AGG ASSAULT,191511049,05/31/2019,345 10TH ST NE,503,Midtown,E,33.781500,-84.375990,
AGG ASSAULT,191502595,05/31/2019,3810 CAMBELTON RD,413,,P,33.690280,-84.513430,
AGG ASSAULT,191512042,05/31/2019,1058 HOWELL MILL RD NW,501,Home Park,E,33.783450,-84.411900,
AGG ASSAULT,191512145,05/31/2019,960 ALLENE AVE SW,301,Adair Park,V,33.728740,-84.413370,
AGG ASSAULT,191512267,05/31/2019,512 LUCKIE ST NW,504,Downtown,M,33.769260,-84.396190,
BURGLARY,191511705,05/31/2019,1353 FINLEY ST NE,609,Edgewood,O,33.756250,-84.343160,
BURGLARY,191510975,05/31/2019,1525 VENETIAN DR SW,403,Venetian Hills,S,33.714800,-84.438490,
BURGLARY,191510893,05/31/2019,1576 BREWER BLVD SW,306,Sylvan Hills,X,33.711860,-84.416650,
BURGLARY,191511455,05/31/2019,260 HUNNICUTT ST NW,504,Downtown,M,33.768700,-84.392390,
BURGLARY,191511253,05/31/2019,2031 CHICAGO AVE NW,107,Grove Park,J,33.764850,-84.453860,
BURGLARY,191510872,05/31/2019,1228 KENILWORH DR SW,403,Venetian Hills,S,33.721610,-84.433900,
BURGLARY,191512515,05/31/2019,660 RALPH MCGILL BLVD NE,603,Old Fourth Ward,M,33.764620,-84.365610,
BURGLARY,191510656,05/31/2019,785 PONCE DE LEON PL NE,601,Virginia Highland,F,33.776020,-84.363580,
BURGLARY,191510693,05/31/2019,2247 CASCADE RD SW,406,Cascade Avenue/Road,S,33.722720,-84.462050,
BURGLARY,191510803,05/31/2019,412 SAWTELL AVE SE,307,Lakewood Heights,Y,33.708220,-84.375410,
BURGLARY,191511005,05/31/2019,40 PEACHTREE VALLEY RD NE,207,,E,33.810970,-84.391540,
BURGLARY,191511325,05/31/2019,2115 MONROE DR NE,212,Piedmont Heights,F,33.810070,-84.371300,
BURGLARY,191510721,05/31/2019,2640 MARTIN L KING JR DR SW,405,Harland Terrace,I,33.753810,-84.474250,
BURGLARY,191511929,05/31/2019,1069 GLENWOOD AVE SE,607,Ormewood Park,W,33.740100,-84.352290,
BURGLARY,191511286,05/31/2019,3761 CAMPBELLTON RD SW,412,Kings Forest,P,33.690870,-84.511660,
BURGLARY,191510346,05/31/2019,222 TUSKEGEE ST SE,304,Peoplestown,V,33.728650,-84.380420,
LARCENY-NON VEHICLE,191511212,05/31/2019,834 HANK AARON DR SE,304,Summerhill,V,33.732060,-84.387640,
LARCENY-NON VEHICLE,191511152,05/31/2019,655 HIGHLAND AVE NE,604,Old Fourth Ward,M,33.760940,-84.365990,
LARCENY-NON VEHICLE,191511653,05/31/2019,1275 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.756740,-84.346190,
LARCENY-NON VEHICLE,191512118,05/31/2019,2045 DONALD LEE HOLLOWELL PKWY NW,107,Grove Park,J,33.777400,-84.452140,
LARCENY-NON VEHICLE,191511895,05/31/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.793030,-84.399210,
LARCENY-NON VEHICLE,191511194,05/31/2019,2178 CAMPBELLTON RD SW,410,Campbellton Road,R,33.705140,-84.459470,
LARCENY-NON VEHICLE,191511305,05/31/2019,842 PEACHTREE ST NE,505,Midtown,E,33.777560,-84.384820,
LARCENY-NON VEHICLE,191511410,05/31/2019,2525 PIEDMONT RD NE @HOME DEPOT,211,Lindbergh/Morosgo,B,33.824000,-84.365210,
LARCENY-NON VEHICLE,191511116,05/31/2019,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.803880,-84.412780,
LARCENY-NON VEHICLE,191511129,05/31/2019,650 PONCE DE LEON AVE NE @STAPLES - PONCE,614,Midtown,E,33.774690,-84.365610,
LARCENY-FROM VEHICLE,191510677,05/31/2019,3123 ELEANOR TER NW,112,Collier Heights,I,33.777460,-84.488700,
LARCENY-FROM VEHICLE,191511106,05/31/2019,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.773580,-84.404960,
LARCENY-FROM VEHICLE,191510516,05/31/2019,2707 DONALD LEE HOLLOWELL PKWY NW,113,Brookview Heights,G,33.777740,-84.475830,
LARCENY-FROM VEHICLE,191510085,05/31/2019,333 W PEACHTREE ST NE,508,Downtown,M,33.763760,-84.387420,
LARCENY-FROM VEHICLE,191510007,05/31/2019,3340 PEACHTREE RD NE,208,North Buckhead,B,33.847430,-84.370890,
LARCENY-FROM VEHICLE,191510002,05/31/2019,ETHEL ST NW / TUMLIN ST NW,501,Home Park,E,33.784500,-84.400610,
LARCENY-FROM VEHICLE,191511294,05/31/2019,1130 PEACHTREE STREET NE,503,Downtown,M,33.755950,-84.386010,
LARCENY-FROM VEHICLE,191511184,05/31/2019,3030 HEADLAND DR SW,411,Greenbriar,R,33.688410,-84.487420,
LARCENY-FROM VEHICLE,191512496,05/31/2019,758 PONCE DE LEON AVE NE,601,Virginia Highland,F,33.774120,-84.362280,
LARCENY-FROM VEHICLE,191512473,05/31/2019,540 PHARR RD NE,206,Buckhead Village,B,33.837070,-84.370180,
LARCENY-FROM VEHICLE,191512464,05/31/2019,707 MIAMI CIR NE,211,Lindbergh/Morosgo,B,33.829100,-84.363950,
LARCENY-FROM VEHICLE,191512241,05/31/2019,144 MORELAND AVE NE,606,Reynoldstown,N,33.757360,-84.349600,
LARCENY-FROM VEHICLE,191511506,05/31/2019,42 FORSYTH ST NW,508,Downtown,M,33.755840,-84.390620,
LARCENY-FROM VEHICLE,191511342,05/31/2019,180 WALKER ST SW,507,Castleberry Hill,M,33.749640,-84.401320,
LARCENY-FROM VEHICLE,191511321,05/31/2019,3599 MARTIN L KING JR DR NW,111,Adamsville,H,33.759330,-84.504330,
LARCENY-FROM VEHICLE,191511304,05/31/2019,2841 GREENBRIAR PKWY SW @GREENBRIAR MALL,411,Greenbriar,R,33.688450,-84.493280,
LARCENY-FROM VEHICLE,191510539,05/31/2019,193 MOURY AVE SW,305,The Villages at Carver,Y,33.715490,-84.391970,
LARCENY-FROM VEHICLE,191512050,05/31/2019,3620 GINNIS CT SW,407,Fairburn Mays,H,33.731410,-84.511950,
LARCENY-FROM VEHICLE,191511744,05/31/2019,580 10 TH ST,502,,E,33.781850,-84.369280,
LARCENY-FROM VEHICLE,191511679,05/31/2019,200 PEACHTREE ST NW,508,Downtown,M,33.758890,-84.388060,
LARCENY-FROM VEHICLE,191510904,05/31/2019,2450 MEMORIAL DR SE,611,East Lake,O,33.747410,-84.306940,
LARCENY-FROM VEHICLE,191511805,05/31/2019,759 W PEACHTREE ST NE,505,Midtown,E,33.775380,-84.386960,
LARCENY-NON VEHICLE,191511158,05/31/2019,3445 PACES FOREST RD NW,202,West Paces Ferry/Northside,A,33.849040,-84.424610,
LARCENY-NON VEHICLE,191510777,05/31/2019,835 OGLETHORPE AVE SW,401,West End,T,33.735920,-84.415640,
LARCENY-NON VEHICLE,191511318,05/31/2019,3393 PEACHTREE RD NE @LENOX MALL,210,Lenox,B,33.846760,-84.362120,
LARCENY-NON VEHICLE,191511281,05/31/2019,985 MEMORIAL DR SE,606,Reynoldstown,N,33.746270,-84.355000,
LARCENY-NON VEHICLE,191512134,05/31/2019,2265 PERRY BLVD NW,110,Scotts Crossing,G,33.805950,-84.464160,
LARCENY-NON VEHICLE,191512133,05/31/2019,3344 PEACHTREE RD NE,208,North Buckhead,B,33.846520,-84.368340,
LARCENY-NON VEHICLE,191510698,05/31/2019,1481 PINE ST NW,207,Loring Heights,E,33.795340,-84.400880,
LARCENY-NON VEHICLE,191510711,05/31/2019,1740 S GORDON ST SW,404,Westview,T,33.739550,-84.444840,
AUTO THEFT,191511953,05/31/2019,100 BAGLEY ST NE @FRANKIE ALLEN PARK,206,Garden Hills,B,33.836890,-84.373940,
AUTO THEFT,191512043,05/31/2019,2305 DONALD LEE HOLLOWELL PKWY NW @CENTER HILL PARK,109,Center Hill,J,33.777040,-84.460530,
AUTO THEFT,191511957,05/31/2019,568 CHAPPELL RD NW,107,Grove Park,J,33.770750,-84.434070,
AUTO THEFT,191511088,05/31/2019,3024 MARTIN LUTHER KING JR DR SW,405,Harland Terrace,I,33.752700,-84.486070,
AUTO THEFT,191510501,05/31/2019,550 WINDSOR ST SW,303,Mechanicsville,V,33.739890,-84.398200,
AUTO THEFT,191510615,05/31/2019,2069 DUNWOODY ST NE,610,Kirkwood,O,33.752070,-84.319900,
AUTO THEFT,191510753,05/31/2019,1994 BENT CREEK WAY SW,410,Campbellton Road,R,33.701100,-84.466310,
AUTO THEFT,191510759,05/31/2019,I-75-85 SB EXPY SW / UNIVERSITY AVE SW,302,Blair Villa/Poole Creek,Z,33.657410,-84.389060,
AUTO THEFT,191510901,05/31/2019,661 AUBURN AVE NE,604,Old Fourth Ward,M,33.755320,-84.365630,
AUTO THEFT,191500592,05/30/2019,952 BECKWITH ST SW,104,Ashview Heights,T,33.752290,-84.418680,
AUTO THEFT,191501540,05/30/2019,29 MORELAND AVE NE,609,Edgewood,O,33.754320,-84.349090,
AUTO THEFT,191500350,05/30/2019,449 MORELAND AVE NE,608,Candler Park,N,33.766670,-84.348910,
AUTO THEFT,191500401,05/30/2019,250 FULTON ST SW,303,Mechanicsville,V,33.741820,-84.396070,
AUTO THEFT,191500403,05/30/2019,3746 CROSBY DR NW,114,Carroll Heights,H,33.772600,-84.510110,
AUTO THEFT,191500446,05/30/2019,2693 WASHINGTON ST NW,112,Collier Heights,I,33.773880,-84.475720,
AUTO THEFT,191502393,05/30/2019,3639 PEACHTREE RD NE,210,Ridgedale Park,B,33.853730,-84.357770,
AUTO THEFT,191500237,05/30/2019,343 JOSEPH E LOWERY BLVD SW,104,Ashview Heights,T,33.745690,-84.417860,
LARCENY-NON VEHICLE,191502220,05/30/2019,631 BROADVIEW PL NE,211,Lindbergh/Morosgo,B,33.821050,-84.363450,
LARCENY-NON VEHICLE,191501556,05/30/2019,704 CONNALLY ST SE,304,Summerhill,V,33.735430,-84.380720,
LARCENY-NON VEHICLE,191501687,05/30/2019,537 PARK AVE SE @GRANT PARK,605,Grant Park,W,33.740310,-84.371670,
LARCENY-NON VEHICLE,191501623,05/30/2019,3755 PEACHTREE RD NE,210,Ridgedale Park,B,33.855660,-84.348840,
LARCENY-NON VEHICLE,191501980,05/30/2019,2423 MARTIN L KING JR DR NW,108,Florida Heights,I,33.751830,-84.466230,
LARCENY-NON VEHICLE,191500739,05/30/2019,1530 WOODBINE AVE SE @COAN COMMUNITY CENT,610,Kirkwood,O,33.751940,-84.336680,
LARCENY-NON VEHICLE,191500743,05/30/2019,4001 POWERS FERRY RD NW,202,Chastain Park,A,33.866390,-84.389300,
LARCENY-NON VEHICLE,191501123,05/30/2019,2786 OLD HAPEVILLE RD SW,312,Glenrose Heights,Z,33.679040,-84.393270,
LARCENY-NON VEHICLE,191500842,05/30/2019,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.844130,-84.374090,
LARCENY-NON VEHICLE,191500386,05/30/2019,953 MORELAND AVE SE,607,Ormewood Park,W,33.728680,-84.349740,
LARCENY-NON VEHICLE,191500647,05/30/2019,3518 BOLFAIR DR NW,114,Carroll Heights,H,33.777140,-84.502560,
LARCENY-NON VEHICLE,191502433,05/30/2019,171 6TH ST NE,505,Midtown,E,33.777090,-84.381850,
LARCENY-NON VEHICLE,191500341,05/30/2019,80 JESSE HILL JR DR SE @GRADY HOSPITAL,510,Downtown,M,33.751680,-84.381980,
LARCENY-NON VEHICLE,191501149,05/30/2019,247 MORELAND AVE SE,606,Reynoldstown,N,33.746990,-84.349580,
LARCENY-NON VEHICLE,191501394,05/30/2019,3850 JONESBORO RD SE @EXPOSITION CENTER,313,South River Gardens,Z,33.650880,-84.363620,
LARCENY-NON VEHICLE,191501500,05/30/2019,2920 PHARR COURT SOUTH NW,206,Peachtree Heights West,B,33.835360,-84.386080,
LARCENY-NON VEHICLE,191500838,05/30/2019,1390 NORTHSIDE DR NW,207,Berkeley Park,D,33.792640,-84.407960,
LARCENY-NON VEHICLE,191500031,05/30/2019,CRESTWELL CIR SW / LOFTY LN SW,407,Thomasville Heights,Z,33.707640,-84.360050,
LARCENY-NON VEHICLE,191502463,05/30/2019,174 CARROLL ST SE,606,Cabbagetown,N,33.749950,-84.367940,
LARCENY-NON VEHICLE,191502024,05/30/2019,2284 CHESHIRE BRIDGE RD NE,212,Lindridge/Martin Manor,F,33.817570,-84.352070,
LARCENY-NON VEHICLE,191502210,05/30/2019,490 GLENN ST SW,303,Mechanicsville,V,33.738050,-84.402620,
LARCENY-NON VEHICLE,191511010,05/30/2019,1090 WHITE OAK AVE SW,402,West End,T,33.733210,-84.424280,
LARCENY-FROM VEHICLE,191492306,05/30/2019,501 CONNELL AVE SW,309,Perkerson,X,33.683270,-84.406620,
LARCENY-FROM VEHICLE,191501147,05/30/2019,2300 JONESBORO RD SE,308,Leila Valley,Z,33.692260,-84.364400,
LARCENY-FROM VEHICLE,191502605,05/30/2019,10TH ST NW / SPRING ST NW,503,Midtown,E,33.781510,-84.389170,
LARCENY-FROM VEHICLE,191500154,05/30/2019,1080 W PEACHTREE ST,503,Midtown,E,33.784700,-84.388170,
LARCENY-FROM VEHICLE,191501505,05/30/2019,1943 PEACHTREE RD,207,Brookwood Hills,E,33.808360,-84.393560,
LARCENY-FROM VEHICLE,191501872,05/30/2019,275 BAKER ST NW,508,Downtown,M,33.762060,-84.395680,
LARCENY-FROM VEHICLE,191501759,05/30/2019,1932 OANA ST SW,306,Sylvan Hills,X,33.701810,-84.412790,
LARCENY-FROM VEHICLE,191501658,05/30/2019,263 10TH ST NE,503,Midtown,E,33.782180,-84.378670,
LARCENY-FROM VEHICLE,191502502,05/30/2019,939 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.773510,-84.356630,
LARCENY-FROM VEHICLE,191502432,05/30/2019,1609 JACKSON TRACE CT NW,113,Lincoln Homes,G,33.799760,-84.475820,
LARCENY-FROM VEHICLE,191502385,05/30/2019,38 JOHN PORTMAN BLVD NE,509,Downtown,M,33.761040,-84.385760,
LARCENY-FROM VEHICLE,191502380,05/30/2019,64 BOULEVARD SE,604,Old Fourth Ward,M,33.752650,-84.371230,
LARCENY-FROM VEHICLE,191502196,05/30/2019,668 11TH ST NW,501,Home Park,E,33.782690,-84.408780,
LARCENY-FROM VEHICLE,191502151,05/30/2019,3012 JONESBORO RD SE,313,South River Gardens,Z,33.672250,-84.371560,
LARCENY-FROM VEHICLE,191502556,05/30/2019,1071 PIEDMONT AVE NE,502,Midtown,E,33.783850,-84.378680,
LARCENY-FROM VEHICLE,191501112,05/30/2019,1225 CAROLINE ST NE @TARGET - CAROLINE,609,Edgewood,O,33.756050,-84.348130,
LARCENY-FROM VEHICLE,191501098,05/30/2019,1210 MENLO DR NW,103,Blandtown,D,33.787440,-84.424070,
