UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY,201520053,05/31/2020,1362 BOULEVARD SE,607,Benteen Park,W,33.717440,-84.368180,
LARCENY-FROM VEHICLE,201520174,05/31/2020,17 BAKER ST NE,509,Downtown,M,33.762150,-84.386750,
BURGLARY,201520199,05/31/2020,1980 DELOWE DR SW,410,Campbellton Road,R,33.701060,-84.456980,
LARCENY-FROM VEHICLE,201520274,05/31/2020,1754 RICHMOND CIR SE,307,Lakewood Heights,Y,33.706980,-84.374500,
AGG ASSAULT,201520296,05/31/2020,991 STONEWALL DR SE,308,Leila Valley,Z,33.689950,-84.356800,
LARCENY-NON VEHICLE,201520306,05/31/2020,3410 ALEXANDER RD NE,209,North Buckhead,B,33.853870,-84.367020,
BURGLARY,201520422,05/31/2020,3232 PEACHTREE RD NE,208,Buckhead Forest,B,33.844130,-84.374090,
AGG ASSAULT,201520430,05/31/2020,101 ANDREW YOUNG INTERNA BLVD NW @AC HOTEL,508,Downtown,M,33.760080,-84.391060,
LARCENY-FROM VEHICLE,201520455,05/31/2020,1178 VIRGINIA AVE NE,601,Virginia Highland,F,33.780050,-84.348770,
BURGLARY,201520478,05/31/2020,3535 PEACHTREE RD NE ,210,Lenox,B,33.851820,-84.359500,
LARCENY-NON VEHICLE,201520484,05/31/2020,2324 CASCADE RD SW,409,Adams Park,R,33.721860,-84.464620,
AGG ASSAULT,201520487,05/31/2020,2228 JONESBORO RD SE,308,Norwood Manor,Z,33.693790,-84.367200,
LARCENY-FROM VEHICLE,201520494,05/31/2020,3478 LAKESIDE DR NE,210,Buckhead Heights,B,33.848720,-84.357230,
LARCENY-NON VEHICLE,201520558,05/31/2020,135 FAIRBURN RD SW,407,Wisteria Gardens,H,33.753440,-84.506080,
AUTO THEFT,201520565,05/31/2020,17 JESSE HILL JR DR NE,510,Downtown,M,33.754870,-84.379990,
BURGLARY,201520582,05/31/2020,1070 MAYSON TURNER RD NW,105,Washington Park,K,33.761780,-84.422010,
AGG ASSAULT,201520591,05/31/2020,16 WILLIAM H BORDERS DR SE,604,Sweet Auburn,M,33.753950,-84.375430,
LARCENY-NON VEHICLE,201520607,05/31/2020,299 N HIGHLAND AVE NE,602,Inman Park,N,33.761980,-84.358460,
AGG ASSAULT,201520800,05/31/2020,2500 CENTER ST NW,113,Carey Park,G,33.789990,-84.471560,
BURGLARY,201520824,05/31/2020,91 WILLOW WOOD CIR,611,East Lake,O,33.749340,-84.303920,
LARCENY-FROM VEHICLE,201520825,05/31/2020,619 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.754120,-84.367170,
LARCENY-NON VEHICLE,201520838,05/31/2020,1683 LAKEWOOD AVE SE,307,Lakewood Heights,Y,33.708300,-84.380350,
LARCENY-FROM VEHICLE,201520850,05/31/2020,898 AUBURN AVE NE ,604,Old Fourth Ward,M,33.757570,-84.365630,
LARCENY-NON VEHICLE,201520852,05/31/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.757350,-84.502820,
AGG ASSAULT,201520864,05/31/2020,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.700450,-84.450710,
LARCENY-NON VEHICLE,201520880,05/31/2020,931 MONROE DR NE @BELTLINE BUSINESS,614,Midtown,E,33.779090,-84.367170,
LARCENY-FROM VEHICLE,201520925,05/31/2020,190 MARIETTA ST NW @CNN CENTER,507,Downtown,M,33.757570,-84.394870,
LARCENY-NON VEHICLE,201520947,05/31/2020,683 JOSEPH E LOWERY BLVD SW,401,West End,T,33.736460,-84.418380,
BURGLARY,201520948,05/31/2020,98 FORSYTH ST,508,English Avenue,L,33.763800,-84.403490,
AGG ASSAULT,201521022,05/31/2020,20  ALABAMA ST SW @FIVE POINTS MARTA ST,511,Downtown,M,33.752030,-84.389440,
LARCENY-NON VEHICLE,201521031,05/31/2020,287 ELIZABETH ST NE,602,Inman Park,N,33.762330,-84.357720,
