COUNTY,DATE STAMP,FEMALE,MALE,SEX UNKNOWN,SUM CASES
NON-GEORGIA RESIDENT,4/16/2020,220,222,69,511
NON-GEORGIA RESIDENT,4/17/2020,233,242,72,547
NON-GEORGIA RESIDENT,4/18/2020,237,246,77,560
NON-GEORGIA RESIDENT,4/19/2020,245,253,83,581
NON-GEORGIA RESIDENT,4/20/2020,254,261,91,606
NON-GEORGIA RESIDENT,4/21/2020,259,275,102,636
NON-GEORGIA RESIDENT,4/22/2020,266,282,109,657
NON-GEORGIA RESIDENT,4/23/2020,276,291,110,677
NON-GEORGIA RESIDENT,4/24/2020,287,300,122,709
NON-GEORGIA RESIDENT,4/25/2020,293,304,128,725
NON-GEORGIA RESIDENT,4/26/2020,296,309,128,733
NON-GEORGIA RESIDENT,4/27/2020,302,320,132,754
NON-GEORGIA RESIDENT,4/28/2020,310,328,134,772
NON-GEORGIA RESIDENT,4/29/2020,325,346,134,805
NON-GEORGIA RESIDENT,4/30/2020,331,356,137,824
NON-GEORGIA RESIDENT,5/1/2020,337,371,141,849
NON-GEORGIA RESIDENT,5/2/2020,342,374,141,857
NON-GEORGIA RESIDENT,5/3/2020,345,382,141,868
NON-GEORGIA RESIDENT,5/4/2020,355,514,147,1016
NON-GEORGIA RESIDENT,5/5/2020,358,519,149,1026
NON-GEORGIA RESIDENT,5/6/2020,366,527,154,1047
NON-GEORGIA RESIDENT,5/7/2020,373,532,161,1066
NON-GEORGIA RESIDENT,5/8/2020,379,542,162,1083
NON-GEORGIA RESIDENT,5/9/2020,383,545,162,1090
NON-GEORGIA RESIDENT,5/10/2020,386,553,165,1104
NON-GEORGIA RESIDENT,5/11/2020,394,647,174,1215
NON-GEORGIA RESIDENT,5/12/2020,404,656,184,1244
NON-GEORGIA RESIDENT,5/13/2020,409,662,198,1269
NON-GEORGIA RESIDENT,5/14/2020,416,669,204,1289
NON-GEORGIA RESIDENT,5/15/2020,427,685,214,1326
NON-GEORGIA RESIDENT,5/16/2020,429,694,217,1340
NON-GEORGIA RESIDENT,5/17/2020,433,695,218,1346
NON-GEORGIA RESIDENT,5/18/2020,445,703,233,1381
NON-GEORGIA RESIDENT,5/19/2020,459,722,236,1417
NON-GEORGIA RESIDENT,5/20/2020,474,733,243,1450
NON-GEORGIA RESIDENT,5/21/2020,487,744,248,1479
NON-GEORGIA RESIDENT,5/22/2020,498,765,249,1512
NON-GEORGIA RESIDENT,5/23/2020,499,772,252,1523
NON-GEORGIA RESIDENT,5/24/2020,502,785,252,1539
NON-GEORGIA RESIDENT,5/25/2020,504,788,252,1544
NON-GEORGIA RESIDENT,5/26/2020,525,806,255,1586
NON-GEORGIA RESIDENT,5/27/2020,543,821,257,1621
NON-GEORGIA RESIDENT,5/28/2020,554,834,262,1650
NON-GEORGIA RESIDENT,5/29/2020,571,853,279,1703
NON-GEORGIA RESIDENT,5/30/2020,580,859,281,1720
NON-GEORGIA RESIDENT,5/31/2020,588,864,282,1734
NON-GEORGIA RESIDENT,6/1/2020,613,891,285,1789
NON-GEORGIA RESIDENT,6/2/2020,632,910,287,1829
NON-GEORGIA RESIDENT,6/3/2020,645,926,288,1859
NON-GEORGIA RESIDENT,6/4/2020,665,937,291,1893
NON-GEORGIA RESIDENT,6/5/2020,678,951,293,1922
NON-GEORGIA RESIDENT,6/6/2020,685,957,294,1936
NON-GEORGIA RESIDENT,6/7/2020,687,968,294,1949
NON-GEORGIA RESIDENT,6/8/2020,702,995,298,1995
NON-GEORGIA RESIDENT,6/9/2020,713,1014,304,2031
NON-GEORGIA RESIDENT,6/10/2020,726,1041,304,2071
NON-GEORGIA RESIDENT,6/11/2020,743,1055,304,2102
NON-GEORGIA RESIDENT,6/12/2020,759,1071,306,2136
NON-GEORGIA RESIDENT,6/13/2020,766,1080,310,2156
NON-GEORGIA RESIDENT,6/14/2020,774,1090,310,2174
NON-GEORGIA RESIDENT,6/15/2020,791,1116,312,2219
NON-GEORGIA RESIDENT,6/16/2020,809,1145,314,2268
