County Name/State Abbreviation,Period,Force,Employed,Unemployed,(%)
"Autauga County, AL",7/19/2020,"26,279","25,552",727,2.8
"Baldwin County, AL",7/19/2020,"99,665","97,121","2,544",2.6
"Barbour County, AL",7/19/2020,"8,625","8,271",354,4.1
"Bibb County, AL",7/19/2020,"8,713","8,444",269,3.1
"Blount County, AL",7/19/2020,"25,535","24,859",676,2.6
"Bullock County, AL",7/19/2020,"4,926","4,733",193,3.9
"Butler County, AL",7/19/2020,"9,319","8,954",365,3.9
"Calhoun County, AL",7/19/2020,"46,131","44,470","1,661",3.6
"Chambers County, AL",7/19/2020,"15,789","15,266",523,3.3
"Cherokee County, AL",7/19/2020,"11,633","11,291",342,2.9
"Chilton County, AL",7/19/2020,"19,978","19,425",553,2.8
"Choctaw County, AL",7/19/2020,"4,559","4,320",239,5.2
"Clarke County, AL",7/19/2020,"7,547","7,059",488,6.5
"Clay County, AL",7/19/2020,"6,097","5,896",201,3.3
"Cleburne County, AL",7/19/2020,"5,860","5,684",176,3
"Coffee County, AL",7/19/2020,"21,455","20,853",602,2.8
"Colbert County, AL",7/19/2020,"23,692","22,713",979,4.1
"Conecuh County, AL",7/19/2020,"4,622","4,435",187,4
"Coosa County, AL",7/19/2020,"4,589","4,443",146,3.2
"Covington County, AL",7/19/2020,"15,778","15,235",543,3.4
"Crenshaw County, AL",7/19/2020,"6,597","6,398",199,3
"Cullman County, AL",7/19/2020,"38,527","37,511","1,016",2.6
"Dale County, AL",7/19/2020,"20,775","20,128",647,3.1
"Dallas County, AL",7/19/2020,"14,934","13,981",953,6.4
"DeKalb County, AL",7/19/2020,"31,758","30,877",881,2.8
"Elmore County, AL",7/19/2020,"37,641","36,661",980,2.6
"Escambia County, AL",7/19/2020,"14,852","14,318",534,3.6
"Etowah County, AL",7/19/2020,"42,549","41,065","1,484",3.5
"Fayette County, AL",7/19/2020,"6,542","6,323",219,3.3
"Franklin County, AL",7/19/2020,"14,743","14,328",415,2.8
"Geneva County, AL",7/19/2020,"11,266","10,967",299,2.7
"Greene County, AL",7/19/2020,"2,929","2,724",205,7
"Hale County, AL",7/19/2020,"6,186","5,902",284,4.6
"Henry County, AL",7/19/2020,"7,047","6,796",251,3.6
"Houston County, AL",7/19/2020,"46,538","45,113","1,425",3.1
"Jackson County, AL",7/19/2020,"23,515","22,708",807,3.4
"Jefferson County, AL",7/19/2020,"319,233","309,785","9,448",3
"Lamar County, AL",7/19/2020,"5,903","5,715",188,3.2
"Lauderdale County, AL",7/19/2020,"42,651","41,149","1,502",3.5
"Lawrence County, AL",7/19/2020,"14,376","13,910",466,3.2
"Lee County, AL",7/19/2020,"76,138","74,009","2,129",2.8
"Limestone County, AL",7/19/2020,"43,911","42,724","1,187",2.7
"Lowndes County, AL",7/19/2020,"3,625","3,406",219,6
"Macon County, AL",7/19/2020,"7,869","7,495",374,4.8
"Madison County, AL",7/19/2020,"185,041","180,133","4,908",2.7
"Marengo County, AL",7/19/2020,"7,711","7,428",283,3.7
"Marion County, AL",7/19/2020,"13,067","12,603",464,3.6
"Marshall County, AL",7/19/2020,"44,488","43,408","1,080",2.4
"Mobile County, AL",7/19/2020,"188,081","180,694","7,387",3.9
"Monroe County, AL",7/19/2020,"7,435","7,062",373,5
"Montgomery County, AL",7/19/2020,"105,847","102,506","3,341",3.2
"Morgan County, AL",7/19/2020,"58,199","56,657","1,542",2.6
"Perry County, AL",7/19/2020,"3,443","3,206",237,6.9
"Pickens County, AL",7/19/2020,"7,915","7,588",327,4.1
"Pike County, AL",7/19/2020,"15,273","14,773",500,3.3
"Randolph County, AL",7/19/2020,"9,695","9,396",299,3.1
"Russell County, AL",7/19/2020,"23,650","22,950",700,3
"St. Clair County, AL",7/19/2020,"40,654","39,546","1,108",2.7
"Shelby County, AL",7/19/2020,"116,011","113,517","2,494",2.1
"Sumter County, AL",7/19/2020,"4,905","4,624",281,5.7
"Talladega County, AL",7/19/2020,"35,817","34,538","1,279",3.6
"Tallapoosa County, AL",7/19/2020,"18,909","18,303",606,3.2
"Tuscaloosa County, AL",7/19/2020,"103,307","100,190","3,117",3
"Walker County, AL",7/19/2020,"25,465","24,632",833,3.3
"Washington County, AL",7/19/2020,"6,750","6,417",333,4.9
"Wilcox County, AL",7/19/2020,"2,800","2,592",208,7.4
