zone 1,zone 2,zone 3,zone 4,zone 5,zone 6
BURGLARY,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,ROBBERY
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,AGG ASSAULT
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT,BURGLARY,BURGLARY
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-FROM VEHICLE
AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE
BURGLARY,BURGLARY,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,AUTO THEFT
BURGLARY,BURGLARY,LARCENY-NON VEHICLE,AUTO THEFT,AUTO THEFT,ROBBERY
AGG ASSAULT,LARCENY-FROM VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AUTO THEFT,ROBBERY
AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,AGG ASSAULT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE,BURGLARY,AGG ASSAULT
AGG ASSAULT,BURGLARY,LARCENY-FROM VEHICLE,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE
BURGLARY,LARCENY-FROM VEHICLE,AGG ASSAULT,BURGLARY,AUTO THEFT,LARCENY-NON VEHICLE
BURGLARY,LARCENY-NON VEHICLE,AGG ASSAULT,LARCENY-NON VEHICLE,AGG ASSAULT,BURGLARY
AGG ASSAULT,BURGLARY,LARCENY-NON VEHICLE,LARCENY-NON VEHICLE,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
AGG ASSAULT,BURGLARY,AGG ASSAULT,AUTO THEFT,LARCENY-FROM VEHICLE,LARCENY-FROM VEHICLE
