UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
BURGLARY,201520199,05/31/2020,1980 DELOWE DR SW,410,Campbellton Road,R,33.70106,-84.45698,
LARCENY-NON VEHICLE,201520484,05/31/2020,2324 CASCADE RD SW,409,Adams Park,R,33.72186,-84.46462,
LARCENY-NON VEHICLE,201520558,05/31/2020,135 FAIRBURN RD SW,407,Wisteria Gardens,H,33.75344,-84.50608,
LARCENY-NON VEHICLE,201520852,05/31/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
AGG ASSAULT,201520864,05/31/2020,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.70045,-84.45071,
LARCENY-NON VEHICLE,201520947,05/31/2020,683 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73646,-84.41838,
LARCENY-NON VEHICLE,201520149,05/31/2020,2716 MLK JR DR SW,405,Harland Terrace,I,33.75395,-84.47612,
BURGLARY,201520199,05/31/2020,1980 DELOWE DR SW,410,Campbellton Road,R,33.70106,-84.45698,
LARCENY-NON VEHICLE,201520484,05/31/2020,2324 CASCADE RD SW,409,Adams Park,R,33.72186,-84.46462,
LARCENY-NON VEHICLE,201520558,05/31/2020,135 FAIRBURN RD SW,407,Wisteria Gardens,H,33.75344,-84.50608,
AUTO THEFT,201520759,05/31/2020,1890 MYRTLE DR SW,410,Campbellton Road,R,33.70405,-84.45488,
LARCENY-NON VEHICLE,201520852,05/31/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
AGG ASSAULT,201520864,05/31/2020,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.70045,-84.45071,
LARCENY-NON VEHICLE,201520947,05/31/2020,683 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73646,-84.41838,
LARCENY-NON VEHICLE,201520149,05/31/2020,2716 MLK JR DR SW,405,Harland Terrace,I,33.75395,-84.47612,
BURGLARY,201520199,05/31/2020,1980 DELOWE DR SW,410,Campbellton Road,R,33.70106,-84.45698,
LARCENY-NON VEHICLE,201520484,05/31/2020,2324 CASCADE RD SW,409,Adams Park,R,33.72186,-84.46462,
LARCENY-NON VEHICLE,201520558,05/31/2020,135 FAIRBURN RD SW,407,Wisteria Gardens,H,33.75344,-84.50608,
AUTO THEFT,201520759,05/31/2020,1890 MYRTLE DR SW,410,Campbellton Road,R,33.70405,-84.45488,
LARCENY-NON VEHICLE,201520852,05/31/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
AGG ASSAULT,201520864,05/31/2020,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.70045,-84.45071,
LARCENY-NON VEHICLE,201520947,05/31/2020,683 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73646,-84.41838,
LARCENY-NON VEHICLE,201520149,05/31/2020,2716 MLK JR DR SW,405,Harland Terrace,I,33.75395,-84.47612,
BURGLARY,201520199,05/31/2020,1980 DELOWE DR SW,410,Campbellton Road,R,33.70106,-84.45698,
LARCENY-NON VEHICLE,201520484,05/31/2020,2324 CASCADE RD SW,409,Adams Park,R,33.72186,-84.46462,
LARCENY-NON VEHICLE,201520558,05/31/2020,135 FAIRBURN RD SW,407,Wisteria Gardens,H,33.75344,-84.50608,
AUTO THEFT,201520759,05/31/2020,1890 MYRTLE DR SW,410,Campbellton Road,R,33.70405,-84.45488,
LARCENY-NON VEHICLE,201520852,05/31/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
AGG ASSAULT,201520864,05/31/2020,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.70045,-84.45071,
LARCENY-NON VEHICLE,201520947,05/31/2020,683 JOSEPH E LOWERY BLVD SW,401,West End,T,33.73646,-84.41838,
LARCENY-NON VEHICLE,201520149,05/31/2020,2716 MLK JR DR SW,405,Harland Terrace,I,33.75395,-84.47612,
BURGLARY,201520199,05/31/2020,1980 DELOWE DR SW,410,Campbellton Road,R,33.70106,-84.45698,
LARCENY-NON VEHICLE,201520484,05/31/2020,2324 CASCADE RD SW,409,Adams Park,R,33.72186,-84.46462,
LARCENY-NON VEHICLE,201520558,05/31/2020,135 FAIRBURN RD SW,407,Wisteria Gardens,H,33.75344,-84.50608,
AUTO THEFT,201520759,05/31/2020,1890 MYRTLE DR SW,410,Campbellton Road,R,33.70405,-84.45488,
LARCENY-NON VEHICLE,201520852,05/31/2020,3500 MARTIN L KING JR DR SW,407,Adamsville,H,33.75735,-84.50282,
AGG ASSAULT,201520864,05/31/2020,1935 ALISON CT SW @FRANCISCAN CLUB APT,410,Fort Valley,R,33.70045,-84.45071,
