UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,,
ROBBERY,201520053,05/31/2020,1362 BOULEVARD SE,607,Benteen Park,W,33.71744,-84.36818,,
LARCENY-FROM VEHICLE,201520455,05/31/2020,1178 VIRGINIA AVE NE,601,Virginia Highland,F,33.78005,-84.34877,,
AGG ASSAULT,201520591,05/31/2020,16 WILLIAM H BORDERS DR SE,604,Sweet Auburn,M,33.75395,-84.37543,,
LARCENY-NON VEHICLE,201520607,05/31/2020,299 N HIGHLAND AVE NE,602,Inman Park,N,33.76198,-84.35846,,
BURGLARY,201520824,05/31/2020,91 WILLOW WOOD CIR,611,East Lake,O,33.74934,-84.30392,,
LARCENY-FROM VEHICLE,201520825,05/31/2020,619 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75412,-84.36717,,
LARCENY-FROM VEHICLE,201520850,05/31/2020,898 AUBURN AVE NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
LARCENY-NON VEHICLE,201520880,05/31/2020,931 MONROE DR NE @BELTLINE BUSINESS,614,Midtown,E,33.77909,-84.36717,,
LARCENY-NON VEHICLE,201521031,05/31/2020,287 ELIZABETH ST NE,602,Inman Park,N,33.76233,-84.35772,,
AUTO THEFT,201521153,05/31/2020,151 SAMPSON ST NE @BELTLINE BUSINESS,604,Old Fourth Ward,M,33.75831,-84.36507,,
ROBBERY,201521330,05/31/2020,1270 CAROLINE ST NE,609,Edgewood,O,33.75859,-84.3473,,
ROBBERY,201520053,05/31/2020,1362 BOULEVARD SE,607,Benteen Park,W,33.71744,-84.36818,,
LARCENY-FROM VEHICLE,201520455,05/31/2020,1178 VIRGINIA AVE NE,601,Virginia Highland,F,33.78005,-84.34877,,
AGG ASSAULT,201520591,05/31/2020,16 WILLIAM H BORDERS DR SE,604,Sweet Auburn,M,33.75395,-84.37543,,
LARCENY-NON VEHICLE,201520607,05/31/2020,299 N HIGHLAND AVE NE,602,Inman Park,N,33.76198,-84.35846,,
LARCENY-NON VEHICLE,201520653,05/31/2020,111 BOULEVARD NE,604,Old Fourth Ward,M,33.75734,-84.3718,,
BURGLARY,201520824,05/31/2020,91 WILLOW WOOD CIR,611,East Lake,O,33.74934,-84.30392,,
LARCENY-FROM VEHICLE,201520825,05/31/2020,619 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75412,-84.36717,,
LARCENY-FROM VEHICLE,201520850,05/31/2020,898 AUBURN AVE NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
LARCENY-NON VEHICLE,201520880,05/31/2020,931 MONROE DR NE @BELTLINE BUSINESS,614,Midtown,E,33.77909,-84.36717,,
LARCENY-NON VEHICLE,201521031,05/31/2020,287 ELIZABETH ST NE,602,Inman Park,N,33.76233,-84.35772,,
AUTO THEFT,201521153,05/31/2020,151 SAMPSON ST NE @BELTLINE BUSINESS,604,Old Fourth Ward,M,33.75831,-84.36507,,
ROBBERY,201521330,05/31/2020,1270 CAROLINE ST NE,609,Edgewood,O,33.75859,-84.3473,,
ROBBERY,201520053,05/31/2020,1362 BOULEVARD SE,607,Benteen Park,W,33.71744,-84.36818,,
LARCENY-FROM VEHICLE,201520455,05/31/2020,1178 VIRGINIA AVE NE,601,Virginia Highland,F,33.78005,-84.34877,,
AGG ASSAULT,201520591,05/31/2020,16 WILLIAM H BORDERS DR SE,604,Sweet Auburn,M,33.75395,-84.37543,,
LARCENY-NON VEHICLE,201520607,05/31/2020,299 N HIGHLAND AVE NE,602,Inman Park,N,33.76198,-84.35846,,
LARCENY-NON VEHICLE,201520653,05/31/2020,111 BOULEVARD NE,604,Old Fourth Ward,M,33.75734,-84.3718,,
BURGLARY,201520824,05/31/2020,91 WILLOW WOOD CIR,611,East Lake,O,33.74934,-84.30392,,
LARCENY-FROM VEHICLE,201520825,05/31/2020,619 EDGEWOOD AVE SE,604,Old Fourth Ward,M,33.75412,-84.36717,,
LARCENY-FROM VEHICLE,201520850,05/31/2020,898 AUBURN AVE NE,604,Old Fourth Ward,M,33.75757,-84.36563,,
LARCENY-NON VEHICLE,201520880,05/31/2020,931 MONROE DR NE @BELTLINE BUSINESS,614,Midtown,E,33.77909,-84.36717,,
