UC2_Literal,Report Number,Report Date,Location,Beat,Neigborhood,NPU,Lat,Long,
ROBBERY,191510360,05/31/2019,472 COURTLAND ST NE,509,Downtown,M,33.76763,-84.38419,
AGG ASSAULT,191511049,05/31/2019,345 10TH ST NE,503,Midtown,E,33.7815,-84.37599,
AGG ASSAULT,191512042,05/31/2019,1058 HOWELL MILL RD NW,501,Home Park,E,33.78345,-84.4119,
AGG ASSAULT,191512267,05/31/2019,512 LUCKIE ST NW,504,Downtown,M,33.76926,-84.39619,
BURGLARY,191511455,05/31/2019,260 HUNNICUTT ST NW,504,Downtown,M,33.7687,-84.39239,
LARCENY-NON VEHICLE,191511895,05/31/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-NON VEHICLE,191511305,05/31/2019,842 PEACHTREE ST NE,505,Midtown,E,33.77756,-84.38482,
LARCENY-FROM VEHICLE,191511106,05/31/2019,768 MARIETTA ST NW,504,Marietta Street Artery,E,33.77358,-84.40496,
LARCENY-FROM VEHICLE,191510085,05/31/2019,333 W PEACHTREE ST NE,508,Downtown,M,33.76376,-84.38742,
LARCENY-FROM VEHICLE,191510002,05/31/2019,ETHEL ST NW / TUMLIN ST NW,501,Home Park,E,33.7845,-84.40061,
LARCENY-FROM VEHICLE,191511294,05/31/2019,1130 PEACHTREE STREET NE,503,Downtown,M,33.75595,-84.38601,
LARCENY-FROM VEHICLE,191511506,05/31/2019,42 FORSYTH ST NW,508,Downtown,M,33.75584,-84.39062,
LARCENY-FROM VEHICLE,191511342,05/31/2019,180 WALKER ST SW,507,Castleberry Hill,M,33.74964,-84.40132,
LARCENY-FROM VEHICLE,191511744,05/31/2019,580 10 TH ST,502,,E,33.78185,-84.36928,
LARCENY-FROM VEHICLE,191511679,05/31/2019,200 PEACHTREE ST NW,508,Downtown,M,33.75889,-84.38806,
LARCENY-FROM VEHICLE,191511805,05/31/2019,759 W PEACHTREE ST NE,505,Midtown,E,33.77538,-84.38696,
LARCENY-FROM VEHICLE,191502605,05/30/2019,10TH ST NW / SPRING ST NW,503,Midtown,E,33.78151,-84.38917,
LARCENY-FROM VEHICLE,191502556,05/30/2019,1071 PIEDMONT AVE NE,502,Midtown,E,33.78385,-84.37868,
LARCENY-FROM VEHICLE,191501872,05/30/2019,275 BAKER ST NW,508,Downtown,M,33.76206,-84.39568,
LARCENY-FROM VEHICLE,191501658,05/30/2019,263 10TH ST NE,503,Midtown,E,33.78218,-84.37867,
LARCENY-FROM VEHICLE,191502385,05/30/2019,38 JOHN PORTMAN BLVD NE,509,Downtown,M,33.76104,-84.38576,
LARCENY-FROM VEHICLE,191502196,05/30/2019,668 11TH ST NW,501,Home Park,E,33.78269,-84.40878,
LARCENY-NON VEHICLE,191500341,05/30/2019,80 JESSE HILL JR DR SE @GRADY HOSPITAL,510,Downtown,M,33.75168,-84.38198,
LARCENY-NON VEHICLE,191502433,05/30/2019,171 6TH ST NE,505,Midtown,E,33.77709,-84.38185,
LARCENY-NON VEHICLE,191500992,05/30/2019,261 19TH ST NW,501,Atlantic Station,E,33.79371,-84.39677,
LARCENY-NON VEHICLE,191501374,05/30/2019,375 18TH ST NW @TARGET - 18TH,501,Atlantic Station,E,33.79303,-84.39921,
LARCENY-NON VEHICLE,191501095,05/30/2019,230 18TH ST NW,501,Atlantic Station,E,33.79161,-84.3981,
BURGLARY,191501995,05/30/2019,379 ANDREW J HAIRSTON PL NW,506,English Avenue,L,33.76505,-84.41359,
LARCENY-NON VEHICLE,191500186,05/30/2019,120 MARIETTA ST NW @GLENN BUILDING,507,Downtown,M,33.75713,-84.39294,
LARCENY-FROM VEHICLE,191500547,05/30/2019,570 SPRING ST NW,509,Downtown,M,33.77028,-84.38939,
LARCENY-FROM VEHICLE,191500576,05/30/2019,450 STONEWALL ST SW,507,Castleberry Hill,M,33.74954,-84.40249,
LARCENY-FROM VEHICLE,191500154,05/30/2019,1080 W PEACHTREE ST,503,Midtown,E,33.7847,-84.38817,
LARCENY-FROM VEHICLE,191492136,05/29/2019,930 JUNIPER ST NE,503,Midtown,E,33.78,-84.38272,
LARCENY-FROM VEHICLE,191492236,05/29/2019,195 MILLS ST NW,504,Downtown,M,33.76541,-84.39373,
LARCENY-FROM VEHICLE,191491639,05/29/2019,327 PETERS ST SW,507,Castleberry Hill,M,33.74586,-84.40382,
LARCENY-FROM VEHICLE,191492047,05/29/2019,360 MARIETTA ST NW @MBS LOT G,507,Downtown,M,33.76269,-84.39702,
LARCENY-FROM VEHICLE,191492081,05/29/2019,38 JOHN PORTMAN BLVD NE,509,Downtown,M,33.76104,-84.38576,
LARCENY-FROM VEHICLE,191492093,05/29/2019,70 COURTLAND ST NE,510,Downtown,M,33.75638,-84.38436,
BURGLARY,191490076,05/29/2019,855 W PEACHTREE ST NE,505,Midtown,E,33.77773,-84.38718,
BURGLARY,191490388,05/29/2019,111 PEACHTREE ST SW,512,Downtown,M,33.75165,-84.39259,
LARCENY-NON VEHICLE,191490567,05/29/2019,13 DECATUR ST SE,511,Downtown,M,33.75403,-84.38947,
BURGLARY,191491040,05/29/2019,526 CENTENNIAL OLYMPIC P DR NW,504,Downtown,M,33.7687,-84.39239,
ROBBERY,191491867,05/29/2019,608 14TH ST NW,501,Home Park,E,33.78578,-84.40707,
LARCENY-NON VEHICLE,191491112,05/29/2019,710 PEACHTREE ST NE,505,Midtown,E,33.77411,-84.38484,
LARCENY-NON VEHICLE,191490901,05/29/2019,504 FAIR ST SW,507,Castleberry Hill,M,33.74848,-84.40423,
LARCENY-NON VEHICLE,191481100,05/28/2019,1374 W PEACHTREE ST NW @CENTER STAGE THEATRE,502,Midtown,E,33.79214,-84.38835,
LARCENY-NON VEHICLE,191481611,05/28/2019,33 PEACHTREE PL,503,Midtown,E,33.78022,-84.3865,
LARCENY-NON VEHICLE,191481053,05/28/2019,PRYOR ST SW / TRINITY AVE SW,512,Downtown,M,33.74919,-84.39271,
AUTO THEFT,191480287,05/28/2019,710 PEACHTREE ST NE,505,Midtown,E,33.77411,-84.38484,
LARCENY-NON VEHICLE,191482458,05/28/2019,300 MARIETTA ST NW,507,Downtown,M,33.76141,-84.39621,
AUTO THEFT,191480332,05/28/2019,126 BAKER ST NE,509,Downtown,M,33.76255,-84.38328,
AUTO THEFT,191480364,05/28/2019,186 NORTHSIDE DR SW,507,Castleberry Hill,M,33.74952,-84.40352,
ROBBERY,191480195,05/28/2019,156 FORSYTH ST SW,512,Downtown,M,33.75017,-84.39515,
BURGLARY,191480959,05/28/2019,300 LUCKIE ST NW,508,Downtown,M,33.76254,-84.39597,
LARCENY-NON VEHICLE,191481183,05/28/2019,200 MEMORIAL DR SW,512,Downtown,M,33.74656,-84.39403,
LARCENY-NON VEHICLE,191482202,05/28/2019,255 TRINITY AVE SW,507,Downtown,M,33.75757,-84.39487,
LARCENY-FROM VEHICLE,191482334,05/28/2019,1371 MARKET ST NW,501,Atlantic Station,E,33.7921,-84.39466,
LARCENY-FROM VEHICLE,191482481,05/28/2019,333 NELSON ST SW,507,Castleberry Hill,M,33.75158,-84.39883,
LARCENY-FROM VEHICLE,191481091,05/28/2019,1000 NORTHSIDE DR NW,501,Home Park,E,33.78196,-84.40835,
LARCENY-FROM VEHICLE,191481809,05/28/2019,JOHN PORTMAN BLVD NE / PEACHTREE CENTER AVE NE,509,Downtown,M,33.76097,-84.38604,
LARCENY-FROM VEHICLE,191480055,05/28/2019,796 JUNIPER ST NE,505,Midtown,E,33.77639,-84.38303,
LARCENY-FROM VEHICLE,191480089,05/28/2019,700 MARIETTA ST NW,504,Marietta Street Artery,E,33.77197,-84.40168,
LARCENY-FROM VEHICLE,191480345,05/28/2019,425 CHAPEL ST SW,507,Castleberry Hill,M,33.75203,-84.40158,
LARCENY-FROM VEHICLE,191480609,05/28/2019,1270 SPRING ST NW,502,Midtown,E,33.78949,-84.38994,
LARCENY-FROM VEHICLE,191470909,05/27/2019,360 MARIETTA ST NW,507,Downtown,M,33.76269,-84.39702,
LARCENY-FROM VEHICLE,191471449,05/27/2019,58 6TH ST NE,505,Midtown,E,33.7775,-84.3853,
LARCENY-FROM VEHICLE,191471675,05/27/2019,250 10TH ST NE,502,Midtown,E,33.78218,-84.37867,
LARCENY-FROM VEHICLE,191461863,05/27/2019,225 BAKER ST,508,Downtown,M,33.76387,-84.39477,
LARCENY-FROM VEHICLE,191470534,05/27/2019,136 CENTRAL AVE SW,511,Downtown,M,33.75115,-84.38945,
LARCENY-NON VEHICLE,191471016,05/27/2019,25 PEACHTREE ST SE,510,Downtown,M,33.75445,-84.38954,
LARCENY-NON VEHICLE,191471308,05/27/2019,25 PEACHTREE ST SE,510,Downtown,M,33.75445,-84.38954,
LARCENY-NON VEHICLE,191471232,05/27/2019,20 BROAD ST SW,511,Downtown,M,33.75312,-84.39208,
BURGLARY,191460994,05/27/2019,604 JULIAN ST NW,506,English Avenue,L,33.77099,-84.40945,
AGG ASSAULT,191471897,05/27/2019,206 AUBURN AVE NE,510,Downtown,M,33.75563,-84.38101,
AGG ASSAULT,191471441,05/27/2019,500 JAMES P BRAWLEY DR NW,506,English Avenue,L,33.76834,-84.41278,
AUTO THEFT,191471023,05/27/2019,1122 CRESCENT ST,503,Midtown,E,33.78533,-84.3845,
LARCENY-NON VEHICLE,191471316,05/27/2019,232 FORSYTH ST SW @GREYHOUND BUS DEPOT,512,Downtown,M,33.74852,-84.39636,
LARCENY-NON VEHICLE,191470702,05/27/2019,152 NASSAU ST NW,508,Downtown,M,33.75843,-84.39219,
LARCENY-NON VEHICLE,191460555,05/26/2019,53 14TH ST NE,503,Midtown,E,33.78657,-84.38602,
LARCENY-NON VEHICLE,191461097,05/26/2019,1008 BRADY AVE NW,501,Home Park,E,33.78251,-84.41436,
AUTO THEFT,191460698,05/26/2019,1132 TECHWOOD DR NW @COURTYARD BY MARRIOT,501,Home Park,E,33.7855,-84.39273,
ROBBERY,191460244,05/26/2019,505 WHITEHALL ST SW,507,Mechanicsville,V,33.7438,-84.40436,
AGG ASSAULT,191460282,05/26/2019,227 10TH ST NE,503,Midtown,E,33.78169,-84.37991,
AGG ASSAULT,191461682,05/26/2019,370 NORTHSIDE DR NW,506,English Avenue,L,33.76527,-84.40498,
LARCENY-NON VEHICLE,191461119,05/26/2019,62 PEACHTREE ST SW,511,Downtown,M,33.7527,-84.39126,
